# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
AWTEventQueue.dispatchTimeMaxNs,1736040606872000000,1736040618354000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1736040606872000000,1736040618354000000,43545
FlushQueue.executionTimeAvgNs,1736040606872000000,1736040618354000000,0.0
FlushQueue.waitingTime90PNs,1736040606872000000,1736040618354000000,0
NonBlockingReadAction.failedExecutionTimeUs,1736040606872000000,1736040618354000000,0
NonBlockingReadAction.finalizedExecutionsCount,1736040606872000000,1736040618354000000,15
FlushQueue.waitingTimeMaxNs,1736040606872000000,1736040618354000000,0
AWTEventQueue.dispatchTime90PNs,1736040606872000000,1736040618354000000,0
FlushQueue.queueSizeAvg,1736040606872000000,1736040618354000000,0.0
WriteAction.executionsCount,1736040606872000000,1736040618354000000,4
FlushQueue.executionTimeMaxNs,1736040606872000000,1736040618354000000,0
FlushQueue.executionTime90PNs,1736040606872000000,1736040618354000000,0
NonBlockingReadAction.failedExecutionsCount,1736040606872000000,1736040618354000000,0
FlushQueue.queueSizeMax,1736040606872000000,1736040618354000000,0
FlushQueue.waitingTimeAvgNs,1736040606872000000,1736040618354000000,0.0
FlushQueue.tasksExecuted,1736040606872000000,1736040618354000000,0
ReadAction.executionsCount,1736040606872000000,1736040618354000000,156995
AWTEventQueue.dispatchTimeTotalNS,1736040606872000000,1736040618354000000,1323026671
FlushQueue.queueSize90P,1736040606872000000,1736040618354000000,0
AWTEventQueue.eventsDispatched,1736040606872000000,1736040618354000000,0
AWTEventQueue.dispatchTimeAvgNs,1736040606872000000,1736040618354000000,0.0
workspaceModel.collect.changes.ms,1736040606872000000,1736040618354000000,0
workspaceModel.check.recursive.update.ms,1736040606872000000,1736040618354000000,0
workspaceModel.updates.ms,1736040606872000000,1736040618354000000,0
workspaceModel.loading.total.ms,1736040606872000000,1736040618354000000,33
workspaceModel.updates.precise.ms,1736040606872000000,1736040618354000000,0
workspaceModel.to.snapshot.ms,1736040606872000000,1736040618354000000,0
workspaceModel.init.bridges.ms,1736040606872000000,1736040618354000000,0
workspaceModel.pre.handlers.ms,1736040606872000000,1736040618354000000,0
workspaceModel.update.unloaded.entities.ms,1736040606872000000,1736040618354000000,0
workspaceModel.initializing.ms,1736040606872000000,1736040618354000000,0
workspaceModel.updates.count,1736040606872000000,1736040618354000000,0
workspaceModel.replace.project.model.ms,1736040606872000000,1736040618354000000,0
workspaceModel.loading.from.cache.ms,1736040606872000000,1736040618354000000,24
Indexes.stubs.lookupDurationAvgMs,1736040606872000000,1736040618354000000,0.0
Indexes.entries.lookups,1736040606872000000,1736040618354000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1736040606872000000,1736040618354000000,0.0
Indexes.allKeys.lookups,1736040606872000000,1736040618354000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1736040606872000000,1736040618354000000,0.0
Indexes.allKeys.lookupDuration90PMs,1736040606872000000,1736040618354000000,0.0
Indexes.entries.lookupDurationAvgMs,1736040606872000000,1736040618354000000,0.0
Indexes.stubs.lookups,1736040606872000000,1736040618354000000,0.0
Indexes.stubs.lookupDuration90PMs,1736040606872000000,1736040618354000000,0.0
Indexes.entries.lookupDurationMaxMs,1736040606872000000,1736040618354000000,0.0
Indexes.entries.lookupDuration90PMs,1736040606872000000,1736040618354000000,0.0
Indexes.stubs.lookupDurationMaxMs,1736040606872000000,1736040618354000000,0.0
FilePageCacheLockFree.totalHeapBytesReclaimed,1736040606872000000,1736040618354000000,0
FilePageCacheLockFree.totalPagesReclaimed,1736040606872000000,1736040618354000000,3
FileChannelInterruptsRetryer.totalRetriedAttempts,1736040606872000000,1736040618354000000,0
FilePageCacheLockFree.heapBytesInUse,1736040606872000000,1736040618354000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1736040606872000000,1736040618354000000,2
FilePageCache.capacityInBytes,1736040606872000000,1736040618354000000,503316478
FilePageCache.totalPageDisposalsUs,1736040606872000000,1736040618354000000,4300
FilePageCacheLockFree.totalPagesWriteMs,1736040606872000000,1736040618354000000,0
FilePageCache.maxRegisteredFiles,1736040606872000000,1736040618354000000,1097
FilePageCacheLockFree.housekeeperTurnsDone,1736040606872000000,1736040618354000000,25
FilePageCacheLockFree.housekeeperTurnsSkipped,1736040606872000000,1736040618354000000,8727
FilePageCache.maxCacheSizeInBytes,1736040606872000000,1736040618354000000,415236096
FilePageCacheLockFree.totalPagesRequestsMs,1736040606872000000,1736040618354000000,8
FilePageCacheLockFree.nativeBytesInUse,1736040606872000000,1736040618354000000,0
FilePageCacheLockFree.totalBytesRead,1736040606872000000,1736040618354000000,0
DirectByteBufferAllocator.misses,1736040606872000000,1736040618354000000,399
MappedFileStorage.storages,1736040606872000000,1736040618354000000,0
FilePageCacheLockFree.totalPagesReadMs,1736040606872000000,1736040618354000000,6
DirectByteBufferAllocator.disposed,1736040606872000000,1736040618354000000,356
FilePageCacheLockFree.totalPageAllocationsWaited,1736040606872000000,1736040618354000000,0
DirectByteBufferAllocator.hits,1736040606872000000,1736040618354000000,3
FilePageCacheLockFree.housekeeperTimeSpentMs,1736040606872000000,1736040618354000000,27
FilePageCache.uncachedFileAccess,1736040606872000000,1736040618354000000,712
MappedFileStorage.totalBytesMapped,1736040606872000000,1736040618354000000,0
FilePageCacheLockFree.totalPagesHandedOver,1736040606872000000,1736040618354000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1736040606872000000,1736040618354000000,758036
